User Address,NB TX,NATIVE DROP,STARGATE SWAP,src | dest | contract,day | week | month,Initial Active Date,Last Active Date,isSybil
0x5a35634fd85f079ce6ba09c75dbd2c90ad5e7cab,32,0.00,535.24,9 | 12 | 8,14 | 11 | 7,2023-04-20,2023-11-14,false
0x48d1cf82c3de2702af4bb4e99a88b0073f111ded,25,0.00,427.01,6 | 10 | 8,7 | 6 | 5,2023-05-26,2023-11-07,true
0xff6a7cd7fbf85d53db716f931b0bda821609749e,26,0.00,447.65,6 | 11 | 9,7 | 6 | 5,2023-05-26,2023-11-07,true
0x152f399f930e9992044d36f8da2cef208b9a2034,35,0.00,568.42,9 | 13 | 9,15 | 12 | 8,2023-04-20,2023-11-14,false
0x52ea0e21358ec6bafb38ef7c2f5e65d07f6d439c,36,0.00,600.58,9 | 13 | 9,16 | 11 | 7,2023-05-18,2023-11-14,false
0x032f54f613077e668df5d94807210e2914e5ef62,26,0.00,550.32,6 | 11 | 8,6 | 5 | 4,2023-05-26,2023-11-07,true
0x0cc31f878fa9bd3891a178960b0e2c40f6285832,32,0.00,552.83,9 | 13 | 9,14 | 11 | 8,2023-04-20,2023-11-06,false
0x95261e5df2c66ed505cb4e65c97d31754d03e4d6,28,0.00,510.13,6 | 11 | 8,6 | 5 | 4,2023-05-26,2023-11-07,true
0x400ab150f91e140fec27a2f47de795be208f708c,35,0.00,600.49,9 | 14 | 9,15 | 11 | 8,2023-04-20,2023-11-08,false
0xbf6d5aa800f9f26ef891641b591cd4aaabfed249,35,0.00,442.11,9 | 14 | 9,16 | 12 | 8,2023-04-20,2023-11-14,false
0x3cc8d23ba0edff88ef3446d017faded08c07fcb7,36,0.00,610.76,9 | 14 | 9,16 | 12 | 8,2023-04-21,2023-11-14,false
0x18eddd8b855879435635c82328c231f5cb9b682f,25,0.00,1760.89,7 | 12 | 8,8 | 8 | 7,2023-04-17,2023-11-14,true
0x4a003e27ea597a5a5f244a0361e2c1fd5473d629,25,0.00,1597.76,7 | 12 | 8,8 | 8 | 7,2023-04-17,2023-11-14,true
0x5046832c6d4fe2de8f6c54c3c4a0e00bc2f883eb,33,0.00,3693.35,9 | 12 | 9,15 | 12 | 7,2023-05-18,2023-11-14,true
0x1bfb2e3b9fcc1468b8d195bbdf4acd8cd887bb81,27,0.00,504.09,6 | 11 | 9,7 | 6 | 5,2023-05-26,2023-11-07,true
