"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(AVAX)","Value_OUT(AVAX)","CurrentValue @ $37.1145877926164/AVAX","TxnFee(AVAX)","TxnFee(USD)","Historical $Price/AVAX","Status","ErrCode","Method"
"0x829dec914c02c6bdee23e12b4b6e807f120401608e2979b52d11e6f99d5c9e9b","32347567","1688841064","2023-07-08 18:31:04","0xe82fcecba41956070616957a4bac88c05edeb20a","0x47c884609642d25e916c23815a0a8a0704728c47","","0.041461655739214216","0","1.5388322619603","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x24317d1c06e1dcabbde40005f766da428b7280ccffdd57ffaeb282bdab5b7b66","32347567","1688841064","2023-07-08 18:31:04","0xa5c9c98c38742db9bc9d20687d82044810a5e9d1","0x47c884609642d25e916c23815a0a8a0704728c47","","0.06708571374571423","0","2.48985861244564","0.0005775","0.021433674450236","13.64","","","Transfer"
"0xb4fd1a8a5a7aa4d63382d22b11ac439f36ed846264cdbc2fc4af3f885d90f1ac","32347570","1688841071","2023-07-08 18:31:11","0x7207ffa8e2a5518a686af230678c8a3f755db648","0x47c884609642d25e916c23815a0a8a0704728c47","","0.0037925","0","0.140757074203498","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x5981bdea2101297858ddcc2702fc80bea9b3b9a31026cb5b9fa133e75eea7ded","32347570","1688841071","2023-07-08 18:31:11","0xe8d2cf7c92aea8720fe4b999f378930914ebf7cb","0x47c884609642d25e916c23815a0a8a0704728c47","","0.06220511412649196","0","2.30871716939741","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x52c4914d72db6a1eea4ad92917d993c078ec73a75530922ec2026e46b2506308","32347570","1688841071","2023-07-08 18:31:11","0xfd7f6df8ec6a5c8989a1cb8352ee21bfa505f18b","0x47c884609642d25e916c23815a0a8a0704728c47","","0.01056015955395176","0","0.391935968869179","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x924111dfcf1f21728dc80064a5569b1cde45bff08187dbdb6ffc1eca6b2ed85c","32347570","1688841071","2023-07-08 18:31:11","0x1ede0162640722e96b64584de9afb7cc5eacabdf","0x47c884609642d25e916c23815a0a8a0704728c47","","0.061815199951221496","0","2.29424566550775","0.0005775","0.021433674450236","13.64","","","Transfer"
"0xa10360e20bc5c7f2c486ee5edaaef3ebd8d816e147181b03782660d14ca81630","32347570","1688841071","2023-07-08 18:31:11","0xe76fc98bdadaf1fe7a8c030163d5261690ed6f50","0x47c884609642d25e916c23815a0a8a0704728c47","","0.0037925","0","0.140757074203498","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x64fccdb3763b6d040ba219526b5aab94a16cdd0a35ee93186f6492c257e25d34","32347570","1688841071","2023-07-08 18:31:11","0xa6088ec316257a4647a818eaf8965e6de9c23165","0x47c884609642d25e916c23815a0a8a0704728c47","","0.05745732623582856","0","2.13250497890866","0.0005775","0.021433674450236","13.64","","","Transfer"
"0xd9c5c0f6b21dab1efba36dd33bc306c956e13e1b8521199810346ec3cc2a30ba","32347570","1688841071","2023-07-08 18:31:11","0x3085e4935d46980cbcf7ba440fd394ef80bb4736","0x47c884609642d25e916c23815a0a8a0704728c47","","0.0037925","0","0.140757074203498","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x1dee5445916421615fa885f2f78572e69b659c454192485b5863ea2a88c521de","32347570","1688841071","2023-07-08 18:31:11","0xcd397492fbd655eac7dcd5488172e63f2297aa00","0x47c884609642d25e916c23815a0a8a0704728c47","","0.003669856400705","0","0.136205207570261","0.0005775","0.021433674450236","13.64","","","Transfer"
"0xf38890169faf022de6b471fee8d4b8a4db4a29d4cf9fc721944c98c452434112","32347570","1688841071","2023-07-08 18:31:11","0x633e1fdd2a35d3e59d32c950bec0da1712ef1641","0x47c884609642d25e916c23815a0a8a0704728c47","","0.02133338147034711","0","0.791779659494574","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x4e4d9f950d7a8b20ed27768a048332a29e33aff504f1e1343026387b7de928e3","32347570","1688841071","2023-07-08 18:31:11","0x9c4820e707d5d22c12574bd28661a7f271945fd1","0x47c884609642d25e916c23815a0a8a0704728c47","","0.0037925","0","0.140757074203498","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x2a9ae51ee3ac0a081425b584cf9b7077c23a98492dad54ececf9688bfc30df26","32347570","1688841071","2023-07-08 18:31:11","0x96c5678490011d28b90b8931e9f0713649271788","0x47c884609642d25e916c23815a0a8a0704728c47","","0.01674811111143472","0","0.621599240205838","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x6466653a582a8b3d41f0e072dc4809a9d17e13e81a75a67801f186ee249ccd8a","32347570","1688841071","2023-07-08 18:31:11","0x87855f67d7631ff1b0e81dc5818c9555a657688f","0x47c884609642d25e916c23815a0a8a0704728c47","","0.13916022286204755","0","5.16487430865353","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x7f75a383efb7183ff07b2c69d0c9801c415235b260605cf153a6585d9cfd3961","32347570","1688841071","2023-07-08 18:31:11","0xa1f4f64ee26862f5eb49f1ad30a114dfb0a7787b","0x47c884609642d25e916c23815a0a8a0704728c47","","0.062279935788201704","0","2.31149414452972","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x1f68e7978336d1f68feced49e2c404d34b542472031e4fd33ff4501989db098e","32347570","1688841071","2023-07-08 18:31:11","0xf8ad6be55f06988b23a8d270f930bb501e502711","0x47c884609642d25e916c23815a0a8a0704728c47","","0.019430131063934876","0","0.721141305194454","0.0005775","0.021433674450236","13.64","","","Transfer"
"0xf12dfa22e3e71d87dddd9b9972720e4a7345cd38ddae79fd9dd929f8b9762541","32347570","1688841071","2023-07-08 18:31:11","0xce2e9c247d74aededda752db6dfcffbe1425ee02","0x47c884609642d25e916c23815a0a8a0704728c47","","0.06120990171560153","0","2.27178027100111","0.0005775","0.021433674450236","13.64","","","Transfer"
"0xcc10a6fc11b4b11d768a337e06a9d003560c8944e9eaa4703097133997a9be7e","32347570","1688841071","2023-07-08 18:31:11","0xb462ef1fb76c7ef8e133b540de56083cd931272d","0x47c884609642d25e916c23815a0a8a0704728c47","","0.13535776720961349","0","5.02374773451373","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x5f5c1707b3803cc2bf33f38ff4e9a684fcf70a8fe71ec404e5807d41842ededa","32347570","1688841071","2023-07-08 18:31:11","0x58d9a28c2b9f4079422d1e68cf3f62456215a4e8","0x47c884609642d25e916c23815a0a8a0704728c47","","0.015701613815635276","0","0.582758924446154","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x74ace8f5bf5b69310c0229f0d7f9dc4f9b5f1e343abbfa41dc767458e8a099b4","32347570","1688841071","2023-07-08 18:31:11","0xfd81cfa820dbbadb7ba47e1ec539d990fe210c76","0x47c884609642d25e916c23815a0a8a0704728c47","","0.06869953745537271","0","2.54975501419957","0.0005775","0.021433674450236","13.64","","","Transfer"
"0xb091eabad00e0b8b6d9df06681c79ba6ad8101e0a547f4b2ec1eca5d22015233","32347570","1688841071","2023-07-08 18:31:11","0xa53f012473086c2876f51aa970b215f4ff6484b6","0x47c884609642d25e916c23815a0a8a0704728c47","","0.051240915668081496","0","1.90178546313706","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x6768ba64f9f7c461b602c8f278d72e653cf80e7d070452fd92d3180293b6733a","32347570","1688841071","2023-07-08 18:31:11","0xaa26da1044a0b04b31401573eb3576cdda10d867","0x47c884609642d25e916c23815a0a8a0704728c47","","0.020849447539544776","0","0.773818651133985","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x4fb369d3a66f264fa709f3bf8d61bdcbd031f6723a861b871e73a63104fcbc1e","32347574","1688841078","2023-07-08 18:31:18","0x7516542c933f05cd7f93c77cee017ae6871ec8af","0x47c884609642d25e916c23815a0a8a0704728c47","","0.02013634876629881","0","0.74735228410954","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x80c15f778d1a23c1d329a202c0b797f7beaf3cfd338e25e6f3ba2b10937edcce","32347574","1688841078","2023-07-08 18:31:18","0x7f49cb8552b89caade7e5e846b4daa716ad3f6bc","0x47c884609642d25e916c23815a0a8a0704728c47","","0.06927574672407965","0","2.57114078368991","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x390c1b66eecea609dfb4aa5d3b37b6d0aff8ae42e1375f89ff0547d2867a14c0","32347574","1688841078","2023-07-08 18:31:18","0x8c1bf181e6845117bfc215b64d9470e1de6f1a6b","0x47c884609642d25e916c23815a0a8a0704728c47","","0.04935386532581304","0","1.83174836753985","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x0ef6a6ccdaef27a243d92349c30b5b8eaeab1f452935910a6e4f52c66cc3244d","32347574","1688841078","2023-07-08 18:31:18","0x6b2560652330aec0bf2d3e023bbbdf0f075f7030","0x47c884609642d25e916c23815a0a8a0704728c47","","0.10834614947051598","0","4.0212226765154","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x5df2297ae0b8e3c0bc0e261ed7fd17d3fb0519e49e1ca0ab0eac7e6af7db8646","32347574","1688841078","2023-07-08 18:31:18","0x2644178aaabd7ccfbf0e7956e66b6870e130fa8a","0x47c884609642d25e916c23815a0a8a0704728c47","","0.09799350646479123","0","3.63698859879382","0.0005775","0.021433674450236","13.64","","","Transfer"
"0x0c76826d1242d7e1770a0c9162d9da1944747979a8cc0ecaee3a4f429b3a6eea","32347574","1688841078","2023-07-08 18:31:18","0x469529dea87caf2f63466813ca171ea82b0c5371","0x47c884609642d25e916c23815a0a8a0704728c47","","0.034323067748312028","0","1.27388651125665","0.0005775","0.021433674450236","13.64","","","Transfer"
